Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G_PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G_PK,Per_90_Minutes_G+A_PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G_xG,Expected_np:G_xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A_xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take_Ons_Att,Take_Ons_Succ,Take_Ons_Succ%,Take_Ons_Tkld,Take_Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,0.7,0,1,0,0.0,1.38,0.00,0.00,,24.5,0,0,0,0.07,-0.1,-0.1,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0
James Abankwah,IRL,DF,Udinese,Serie A,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,1,1,100.0,17,15,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Keyliane Abdallah,FRA,FW,Marseille,Ligue ,18,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,4,0,3,1,0,0,4,0,0,,0,,2,16,9,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue ,37,1987,7,7,576,6.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,3,16,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,6.4,0,2,1,50.0,0.31,0.16,0.00,0.00,10.8,0,0,0,0.12,-0.2,-0.2,253,290,87.2,4694,1542,81,88,92.0,155,165,93.9,15,32,46.9,0,0.0,0.0,0.0,1,20,0,0,16,290,260,29,15,0,0,0,1,0,0,0,0,253,1,1,3,0.47,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,11,7,9,2,0,6,11,54.5,5,11,9,2,5,16,30,1,365,71,219,139,8,4,365,4,2,50.0,2,50.0,178,958,536,3,0,0,7,2,225,3,0,9,4,0,0,5,7,0,0,0,21,10,6,62.5
Himad Abdelli,ALG,"MF,FW",Angers,Ligue ,24,1999,9,9,792,8.8,3,0,3,1,2,3,1,0,3.5,1.1,1.0,2.1,31,58,39,0.34,0.00,0.34,0.11,0.11,0.40,0.12,0.51,0.13,0.24,8.8,3,11,3,27.3,1.25,0.34,0.09,0.33,25.8,0,2,3,0.10,-0.5,-0.1,405,503,80.5,5757,1729,232,260,89.2,143,169,84.6,14,46,30.4,0,1.0,0.9,-1.0,12,46,12,0,58,503,457,44,21,5,1,20,5,5,3,1,0,405,2,8,21,2.39,17,1,1,1,1,0,1,0.11,0,0,1,0,0,0,16,11,4,6,6,6,18,33.3,12,6,0,6,7,23,9,0,615,9,82,333,206,18,612,45,14,31.1,30,66.7,326,2001,1161,31,21,8,13,15,429,39,0,14,10,0,20,7,11,0,0,0,52,5,7,41.7
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue ,25,1999,5,4,338,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,14,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.8,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,168,194,86.6,2879,940,68,73,93.2,90,101,89.1,6,14,42.9,0,0.0,0.0,0.0,0,9,0,0,14,194,182,12,11,0,5,0,1,0,0,0,0,168,0,1,3,0.80,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,12,9,6,5,1,9,14,64.3,5,4,2,2,8,20,16,1,233,25,106,116,13,1,233,2,1,50.0,1,50.0,117,496,267,1,0,0,1,1,130,2,0,1,3,0,0,8,9,0,0,0,22,6,8,42.9
Ali Abdi,TUN,"DF,MF",Nice,Ligue ,30,1993,6,4,401,4.5,1,1,2,1,0,0,1,0,0.6,0.6,0.8,1.4,8,10,28,0.22,0.22,0.45,0.22,0.45,0.13,0.19,0.32,0.13,0.32,4.5,1,7,3,42.9,1.57,0.67,0.14,0.33,24.5,0,0,0,0.08,+0.4,+0.4,142,188,75.5,2042,749,79,92,85.9,52,69,75.4,5,13,38.5,1,0.8,0.4,+0.2,7,5,3,1,10,188,153,33,2,0,1,13,31,0,0,0,0,142,2,5,14,3.14,9,3,0,2,0,0,1,0.22,0,1,0,0,0,0,14,9,6,4,4,12,18,66.7,6,11,3,8,2,16,11,0,247,16,75,88,86,15,247,3,1,33.3,2,66.7,103,434,222,8,4,4,9,4,127,28,0,9,2,1,13,2,9,0,0,0,24,5,6,45.5
Abel,ESP,DF,Osasuna,La Liga,24,2000,10,8,729,8.1,2,0,2,2,0,0,2,0,0.2,0.2,0.3,0.5,15,34,15,0.25,0.00,0.25,0.25,0.25,0.03,0.04,0.07,0.03,0.07,8.1,2,4,3,75.0,0.49,0.37,0.50,0.67,27.1,0,0,0,0.06,+1.8,+1.8,238,350,68.0,4097,1929,122,137,89.1,86,126,68.3,23,64,35.9,0,0.3,0.5,-0.3,5,25,5,4,34,350,249,99,7,0,0,24,92,0,0,0,0,238,2,14,12,1.48,9,0,1,0,1,1,2,0.25,0,0,1,0,0,1,21,15,11,6,4,12,21,57.1,9,13,2,11,8,29,26,0,436,23,148,191,102,3,436,10,5,50.0,5,50.0,145,870,449,15,19,1,6,3,168,15,0,7,10,0,24,8,15,0,0,0,39,8,6,57.1
Nabil Aberdin,FRA,MF,Getafe,La Liga,22,2002,6,3,233,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,2.6,0,2,0,0.0,0.77,0.00,0.00,,31.2,0,0,0,0.02,0.0,0.0,31,51,60.8,588,229,12,20,60.0,9,14,64.3,7,11,63.6,0,0.0,0.1,0.0,1,7,2,0,6,51,48,2,2,0,1,0,0,0,0,0,0,31,1,1,3,1.16,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,5,4,3,2,0,1,1,100.0,0,2,0,2,0,5,5,0,75,6,18,48,9,2,75,3,2,66.7,1,33.3,31,130,64,2,0,0,1,0,29,2,0,5,6,0,0,0,4,0,0,0,8,10,2,83.3
Oliver Abildgaard,DEN,MF,Como,Serie A,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,1,1,100.0,21,7,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
